gt_char,pred_char,count
6,8,40
8,6,36
9,8,29
9,0,19
8,9,19
5,6,19
0,9,18
0,8,17
0,1,16
6,0,15
3,8,14
5,8,14
9,6,14
0,2,13
6,5,12
0,6,12
1,0,11
8,0,11
6,9,11
3,2,11
