model_tag,num_samples,accuracy,avg_gt_len,avg_pred_len,empty_prediction_ratio,replace_total,insert_total,delete_total,eos_early_total,eos_late_total,replace_share,replace_head_total,replace_middle_total,replace_tail_total
baseline_ar,6884,0.8282975014526438,13.773242300987798,13.819726902963394,0.0,1758,2606,2286,349,318,0.2643609022556391,900,513,345
e1_ctc_probe,6884,0.0,13.773242300987798,0.0,1.0,0,0,94815,6884,0,0.0,0,0,0
