model_tag,num_samples,accuracy,replace_total,insert_total,delete_total,eos_early_total,eos_late_total,replace_share,replace_head_total,replace_middle_total,replace_tail_total
baseline_ar,6884,0.8282975014526438,1758,2606,2286,349,318,0.2643609022556391,900,513,345
s1_adapter,6884,0.0,0,0,94815,6884,0,0.0,0,0,0
